"rowid","Plot","Plot.Type","Date","Rec.Hour","Rec.Min","Start.sec","End.sec","Common.name","Confidence","Latin.name","class","order","File","Week","True.Positive","New.File"
914,"TO08","TO","20260404",5,27,3111,3114,"Brown-headed Cowbird",0.5868,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO08\SMM2-08_20260404_052700.wav",14,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-08_20260404_052700_001_C59.wav"
915,"TO05","TO","20260328",6,37,3243,3246,"Brown-headed Cowbird",0.3733,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO05\SMM2-05_20260328_063703.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-05_20260328_063703_001_C37.wav"
916,"RE03","RE","20260420",6,5,2418,2421,"Brown-headed Cowbird",0.8555,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260420_060502.wav",16,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-19_20260420_060502_001_C86.wav"
917,"RE09","RE","20260420",5,5,1143,1146,"Brown-headed Cowbird",0.7807,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE09\SMM2-25_20260420_050500.wav",16,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-25_20260420_050500_001_C78.wav"
918,"TO09","TO","20260410",5,19,1800,1803,"Brown-headed Cowbird",0.3836,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO09\SMM2-09_20260410_051900.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-09_20260410_051900_001_C38.wav"
919,"TO07","TO","20260404",5,27,2955,2958,"Brown-headed Cowbird",0.8391,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO07\SMM2-07_20260404_052700.wav",14,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-07_20260404_052700_001_C84.wav"
920,"TO07","TO","20260412",6,15,2703,2706,"Brown-headed Cowbird",0.7991,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO07\SMM2-07_20260412_061502.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-07_20260412_061502_001_C80.wav"
921,"IF02","IF","20260405",6,26,2640,2643,"Brown-headed Cowbird",0.7427,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF02\SMM2-26_20260405_062602.wav",14,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-26_20260405_062602_001_C74.wav"
922,"TO07","TO","20260404",6,27,747,750,"Brown-headed Cowbird",0.2809,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO07\SMM2-07_20260404_062702.wav",14,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-07_20260404_062702_001_C28.wav"
923,"RE03","RE","20260323",6,44,2364,2367,"Brown-headed Cowbird",0.6158,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260323_064402.wav",12,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-19_20260323_064402_001_C62.wav"
924,"TO09","TO","20260407",6,23,876,879,"Brown-headed Cowbird",0.4047,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO09\SMM2-09_20260407_062302.wav",14,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-09_20260407_062302_001_C40.wav"
925,"IF06","IF","20260429",4,55,2217,2220,"Brown-headed Cowbird",0.3164,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF06\SMM2-31_20260429_045500.wav",17,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-31_20260429_045500_001_C32.wav"
926,"IF02","IF","20260405",6,26,2079,2082,"Brown-headed Cowbird",0.9532,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF02\SMM2-26_20260405_062602.wav",14,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-26_20260405_062602_001_C95.wav"
927,"IF09","IF","20260425",4,59,2637,2640,"Brown-headed Cowbird",0.3279,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260425_045900.wav",17,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-34_20260425_045900_001_C33.wav"
928,"IF03","IF","20260417",5,9,2376,2379,"Brown-headed Cowbird",0.2867,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_050900.wav",16,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-28_20260417_050900_001_C29.wav"
929,"TO11","TO","20260330",5,34,2526,2529,"Brown-headed Cowbird",0.5527,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO11\SMM2-11_20260330_053400.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-11_20260330_053400_001_C55.wav"
930,"TO11","TO","20260418",5,8,2097,2100,"Brown-headed Cowbird",0.8401,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO11\SMM2-11_20260418_050800.wav",16,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-11_20260418_050800_001_C84.wav"
931,"IF01","IF","20260408",6,21,1374,1377,"Brown-headed Cowbird",0.7056,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260408_062102.wav",14,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-27_20260408_062102_001_C71.wav"
932,"IF02","IF","20260424",6,1,3405,3408,"Brown-headed Cowbird",0.6133,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF02\SMM2-26_20260424_060102.wav",17,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-26_20260424_060102_001_C61.wav"
933,"IF02","IF","20260424",6,1,3492,3495,"Brown-headed Cowbird",0.9771,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF02\SMM2-26_20260424_060102.wav",17,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-26_20260424_060102_001_C98.wav"
934,"RE06","RE","20260315",6,51,690,693,"Brown-headed Cowbird",0.2548,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_065102.wav",11,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-17_20260315_065102_001_C25.wav"
935,"RE03","RE","20260420",6,5,2316,2319,"Brown-headed Cowbird",0.7101,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260420_060502.wav",16,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-19_20260420_060502_001_C71.wav"
936,"RE05","RE","20260311",5,41,3372,3375,"Brown-headed Cowbird",0.5705,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE05\SMM2-21_20260311_054102.wav",10,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-21_20260311_054102_001_C57.wav"
937,"IF09","IF","20260423",5,2,1968,1971,"Brown-headed Cowbird",0.4297,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260423_050200.wav",17,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-34_20260423_050200_001_C43.wav"
938,"RE07","RE","20260418",6,8,747,750,"Brown-headed Cowbird",0.488,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE07\SMM2-23_20260418_060802.wav",16,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-23_20260418_060802_001_C49.wav"
939,"TO12","TO","20260401",5,31,2769,2772,"Brown-headed Cowbird",0.4904,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO12\SMM2-12_20260401_053100.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-12_20260401_053100_001_C49.wav"
940,"TO12","TO","20260401",6,31,939,942,"Brown-headed Cowbird",0.2667,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO12\SMM2-12_20260401_063102.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-12_20260401_063102_001_C27.wav"
941,"IF03","IF","20260410",5,19,570,573,"Brown-headed Cowbird",0.3235,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260410_051900.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-28_20260410_051900_001_C32.wav"
942,"TO12","TO","20260327",6,38,1347,1350,"Brown-headed Cowbird",0.4526,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO12\SMM2-12_20260327_063802.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-12_20260327_063802_001_C45.wav"
943,"IF09","IF","20260423",6,2,1980,1983,"Brown-headed Cowbird",0.7472,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260423_060202.wav",17,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-34_20260423_060202_001_C75.wav"
944,"IF09","IF","20260414",6,13,2109,2112,"Brown-headed Cowbird",0.9909,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260414_061302.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-34_20260414_061302_001_C99.wav"
945,"TO05","TO","20260327",6,38,657,660,"Brown-headed Cowbird",0.6849,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO05\SMM2-05_20260327_063802.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-05_20260327_063802_001_C68.wav"
946,"IF09","IF","20260423",6,2,2121,2124,"Brown-headed Cowbird",0.63,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260423_060202.wav",17,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-34_20260423_060202_001_C63.wav"
947,"IF02","IF","20260424",6,1,3273,3276,"Brown-headed Cowbird",0.5081,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF02\SMM2-26_20260424_060102.wav",17,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-26_20260424_060102_001_C51.wav"
948,"IF02","IF","20260424",6,1,2469,2472,"Brown-headed Cowbird",0.2858,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF02\SMM2-26_20260424_060102.wav",17,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-26_20260424_060102_001_C29.wav"
949,"IF09","IF","20260425",4,59,3264,3267,"Brown-headed Cowbird",0.2596,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260425_045900.wav",17,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-34_20260425_045900_001_C26.wav"
950,"IF01","IF","20260414",6,13,2370,2373,"Brown-headed Cowbird",0.6081,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260414_061302.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-27_20260414_061302_001_C61.wav"
951,"IF09","IF","20260414",5,13,1533,1536,"Brown-headed Cowbird",0.281,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260414_051300.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-34_20260414_051300_001_C28.wav"
952,"TO11","TO","20260418",5,8,3447,3450,"Brown-headed Cowbird",0.7679,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO11\SMM2-11_20260418_050800.wav",16,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-11_20260418_050800_001_C77.wav"
953,"TO05","TO","20260328",6,37,3504,3507,"Brown-headed Cowbird",0.5419,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO05\SMM2-05_20260328_063703.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-05_20260328_063703_001_C54.wav"
954,"TO05","TO","20260328",6,37,3177,3180,"Brown-headed Cowbird",0.6157,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO05\SMM2-05_20260328_063703.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-05_20260328_063703_001_C62.wav"
955,"RE03","RE","20260412",6,15,963,966,"Brown-headed Cowbird",0.5612,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260412_061502.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-19_20260412_061502_001_C56.wav"
956,"TO06","TO","20260326",5,40,3357,3360,"Brown-headed Cowbird",0.2515,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO06\SMM2-06_20260326_054000.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-06_20260326_054000_001_C25.wav"
957,"TO12","TO","20260310",6,3,3429,3432,"Brown-headed Cowbird",0.2842,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO12\SMM2-12_20260310_060300.wav",10,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-12_20260310_060300_001_C28.wav"
958,"RE06","RE","20260315",6,51,411,414,"Brown-headed Cowbird",0.7664,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_065102.wav",11,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-17_20260315_065102_001_C77.wav"
959,"IF09","IF","20260423",6,2,2952,2955,"Brown-headed Cowbird",0.3222,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260423_060202.wav",17,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-34_20260423_060202_001_C32.wav"
960,"RE06","RE","20260315",5,51,3399,3402,"Brown-headed Cowbird",0.2775,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_055100.wav",11,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-17_20260315_055100_001_C28.wav"
961,"IF06","IF","20260410",6,19,1101,1104,"Brown-headed Cowbird",0.6248,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF06\SMM2-31_20260410_061902.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-31_20260410_061902_001_C62.wav"
962,"RE05","RE","20260315",6,41,1371,1374,"Brown-headed Cowbird",0.6626,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE05\SMM2-21_20260315_064102.wav",11,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-21_20260315_064102_001_C66.wav"
963,"TO05","TO","20260327",6,38,2373,2376,"Brown-headed Cowbird",0.7251,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO05\SMM2-05_20260327_063802.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-05_20260327_063802_001_C73.wav"
964,"IF02","IF","20260405",6,26,2481,2484,"Brown-headed Cowbird",0.6645,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF02\SMM2-26_20260405_062602.wav",14,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-26_20260405_062602_001_C66.wav"
965,"IF03","IF","20260410",6,19,3024,3027,"Brown-headed Cowbird",0.6626,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260410_061902.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-28_20260410_061902_001_C66.wav"
966,"IF02","IF","20260405",6,26,309,312,"Brown-headed Cowbird",0.5997,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF02\SMM2-26_20260405_062602.wav",14,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-26_20260405_062602_001_C60.wav"
967,"RE03","RE","20260412",6,15,2322,2325,"Brown-headed Cowbird",0.5137,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260412_061502.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-19_20260412_061502_001_C51.wav"
968,"TO07","TO","20260404",5,27,3021,3024,"Brown-headed Cowbird",0.607,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO07\SMM2-07_20260404_052700.wav",14,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-07_20260404_052700_001_C61.wav"
969,"RE03","RE","20260321",6,47,3555,3558,"Brown-headed Cowbird",0.7233,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_064702.wav",12,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-19_20260321_064702_001_C72.wav"
970,"TO09","TO","20260411",6,14,87,90,"Brown-headed Cowbird",0.3166,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO09\SMM2-09_20260411_061402.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-09_20260411_061402_001_C32.wav"
971,"TO07","TO","20260315",5,51,1725,1728,"Brown-headed Cowbird",0.2718,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO07\SMM2-07_20260315_055100.wav",11,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-07_20260315_055100_001_C27.wav"
972,"RE03","RE","20260323",5,44,3294,3297,"Brown-headed Cowbird",0.8305,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260323_054400.wav",12,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-19_20260323_054400_001_C83.wav"
973,"RE09","RE","20260420",5,5,2556,2559,"Brown-headed Cowbird",0.9534,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE09\SMM2-25_20260420_050500.wav",16,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-25_20260420_050500_001_C95.wav"
974,"IF06","IF","20260410",6,19,2889,2892,"Brown-headed Cowbird",0.5284,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF06\SMM2-31_20260410_061902.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-31_20260410_061902_001_C53.wav"
975,"IF01","IF","20260414",6,13,2346,2349,"Brown-headed Cowbird",0.5995,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260414_061302.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-27_20260414_061302_001_C60.wav"
976,"IF06","IF","20260330",6,34,1488,1491,"Brown-headed Cowbird",0.5322,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF06\SMM2-31_20260330_063402.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-31_20260330_063402_001_C53.wav"
977,"IF09","IF","20260328",6,37,2778,2781,"Brown-headed Cowbird",0.8843,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260328_063702.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-34_20260328_063702_001_C88.wav"
978,"TO05","TO","20260327",6,38,2505,2508,"Brown-headed Cowbird",0.5544,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO05\SMM2-05_20260327_063802.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-05_20260327_063802_001_C55.wav"
979,"TO12","TO","20260328",6,37,1047,1050,"Brown-headed Cowbird",0.6073,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO12\SMM2-12_20260328_063702.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-12_20260328_063702_001_C61.wav"
980,"IF01","IF","20260414",6,13,3510,3513,"Brown-headed Cowbird",0.843,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260414_061302.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-27_20260414_061302_001_C84.wav"
981,"IF01","IF","20260414",6,13,2442,2445,"Brown-headed Cowbird",0.8837,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260414_061302.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-27_20260414_061302_001_C88.wav"
982,"RE06","RE","20260315",6,51,570,573,"Brown-headed Cowbird",0.3939,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_065102.wav",11,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-17_20260315_065102_001_C39.wav"
983,"RE03","RE","20260321",5,47,2010,2013,"Brown-headed Cowbird",0.5361,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_054700.wav",12,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-19_20260321_054700_001_C54.wav"
984,"TO05","TO","20260328",5,37,2316,2319,"Brown-headed Cowbird",0.7118,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO05\SMM2-05_20260328_053700.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-05_20260328_053700_001_C71.wav"
985,"IF02","IF","20260405",6,26,2628,2631,"Brown-headed Cowbird",0.9943,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF02\SMM2-26_20260405_062602.wav",14,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-26_20260405_062602_001_C99.wav"
986,"RE05","RE","20260311",9,41,621,624,"Brown-headed Cowbird",0.2835,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE05\SMM2-21_20260311_094102.wav",10,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-21_20260311_094102_001_C28.wav"
987,"TO07","TO","20260402",6,30,3153,3156,"Brown-headed Cowbird",0.3882,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO07\SMM2-07_20260402_063002.wav",14,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-07_20260402_063002_001_C39.wav"
988,"TO05","TO","20260328",6,37,3453,3456,"Brown-headed Cowbird",0.5274,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO05\SMM2-05_20260328_063703.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-05_20260328_063703_001_C53.wav"
989,"RE03","RE","20260323",6,44,1281,1284,"Brown-headed Cowbird",0.5415,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260323_064402.wav",12,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-19_20260323_064402_001_C54.wav"
990,"TO11","TO","20260331",5,33,1584,1587,"Brown-headed Cowbird",0.4859,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO11\SMM2-11_20260331_053300.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-11_20260331_053300_001_C49.wav"
991,"IF09","IF","20260423",5,2,1929,1932,"Brown-headed Cowbird",0.359,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260423_050200.wav",17,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-34_20260423_050200_001_C36.wav"
992,"RE05","RE","20260309",8,41,3000,3003,"Brown-headed Cowbird",0.6194,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE05\SMM2-21_20260309_084102.wav",10,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-21_20260309_084102_001_C62.wav"
993,"IF09","IF","20260414",6,13,2103,2106,"Brown-headed Cowbird",0.9302,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260414_061302.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-34_20260414_061302_001_C93.wav"
994,"RE06","RE","20260315",5,51,3438,3441,"Brown-headed Cowbird",0.4763,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_055100.wav",11,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-17_20260315_055100_001_C48.wav"
995,"IF03","IF","20260410",5,19,3132,3135,"Brown-headed Cowbird",0.2764,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260410_051900.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-28_20260410_051900_001_C28.wav"
996,"TO05","TO","20260328",5,37,2418,2421,"Brown-headed Cowbird",0.9435,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO05\SMM2-05_20260328_053700.wav",13,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-05_20260328_053700_001_C94.wav"
997,"RE05","RE","20260309",8,41,2997,3000,"Brown-headed Cowbird",0.3718,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE05\SMM2-21_20260309_084102.wav",10,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-21_20260309_084102_001_C37.wav"
998,"TO07","TO","20260412",5,15,2976,2979,"Brown-headed Cowbird",0.6441,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO07\SMM2-07_20260412_051500.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-07_20260412_051500_001_C64.wav"
999,"IF09","IF","20260314",5,57,2697,2700,"Brown-headed Cowbird",0.4396,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260314_055700.wav",11,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-34_20260314_055700_001_C44.wav"
1000,"TO12","TO","20260321",6,47,1131,1134,"Brown-headed Cowbird",0.4409,"Molothrus ater","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO12\SMM2-12_20260321_064702.wav",12,NA,"D:/BirdNet_Validations/Brown_headed_Cowbird/SMM2-12_20260321_064702_001_C44.wav"
1001,"RE05","RE","20260315",14,41,912,915,"Brown-headed Nuthatch",0.8059,"Sitta pusilla","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE05\SMM2-21_20260315_144102.wav",11,NA,"D:/BirdNet_Validations/Brown_headed_Nuthatch/SMM2-21_20260315_144102_001_C81.wav"
1002,"IF01","IF","20260414",6,13,3270,3273,"Brown-headed Nuthatch",0.8071,"Sitta pusilla","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260414_061302.wav",15,NA,"D:/BirdNet_Validations/Brown_headed_Nuthatch/SMM2-27_20260414_061302_001_C81.wav"
1003,"IF07","IF","20260305",9,18,3132,3135,"Brown-headed Nuthatch",0.8259,"Sitta pusilla","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF07\SMM2-32_20260305_091802.wav",10,NA,"D:/BirdNet_Validations/Brown_headed_Nuthatch/SMM2-32_20260305_091802_001_C83.wav"
